,project,bug_id,lambda_val,tarantula,ochiai,dstar,GraphCut_Score,GraphCut_Rank,tarantula_rank,ochiai_rank,dstar_rank,rank_gain_tarantula,In_Degree,Out_Degree,In_Degree_Centrality,Out_Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,PageRank,Clustering_Coefficient,Num_Nodes,Num_Edges,Density,Is_DAG,Reciprocity,Num_SCC,Num_WCC,Degree_Assortativity,Largest_SCC_Avg_Path_Length,Largest_SCC_Diameter
0,Chart,1,0.1,0.9834155087404752,0.16222142113076254,0.02702702702702703,4.145057059895695,7.0,7.5,7.5,7.5,0.5,0,3,0.0,0.015228426395939085,0.0,0.0,0.002495893454331163,0.0,198,239,0.006127262472440137,False,0.016736401673640166,189,18,-0.1466977983631645,2.3555555555555556,4
1,Chart,11,0.1,0.9917537108301264,0.25,0.06666666666666667,4.756378166187023,1.0,1.0,1.0,1.0,0.0,1,0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.13571780828608065,0.0,7,6,0.14285714285714285,True,0.0,7,1,,0.0,0
2,Chart,12,0.1,0.9983351831298557,0.5,0.3333333333333333,6.730443238539697,2.0,3.0,3.0,3.0,1.0,1,8,0.00546448087431694,0.04371584699453552,0.0023118957545187053,0.00546448087431694,0.005464272840097624,0.013888888888888888,184,239,0.0070978854834877645,False,0.03347280334728033,172,15,-0.21799552885593854,2.948717948717949,7
3,Chart,13,0.1,1.0,1.0,inf,27.960389281740063,1.0,1.5,1.5,1.5,0.5,1,8,0.015873015873015872,0.12698412698412698,0.0028161802355350742,0.031746031746031744,0.010497519969796316,0.05555555555555555,64,83,0.02058531746031746,False,0.04819277108433735,62,10,0.040845187317693744,1.0,1
4,Chart,14,0.1,1.0,0.5,0.3333333333333333,27.637270970210345,5.0,4.5,4.5,4.5,-0.5,1,0,0.0010940919037199124,0.0,0.0,0.0016411378555798686,0.0017946478795959448,0.0,915,1530,0.0018294651504824767,False,0.02091503267973856,873,32,-0.18440791820716831,2.912903225806452,7
5,Chart,15,0.1,0.9988795518207283,0.5773502691896258,0.5,6.8707111330044235,6.0,7.5,7.5,7.5,1.5,1,4,0.00425531914893617,0.01702127659574468,0.00018185124568103294,0.0056737588652482265,0.002956629124072,0.0,236,299,0.0053912729895420125,True,0.0,236,18,-0.10703659637988547,0.0,0
6,Chart,16,0.1,0.9927252378287633,0.6172133998483676,4.923076923076923,4.989539913280499,5.0,5.0,2.0,2.0,0.0,1,3,0.03125,0.09375,0.008064516129032258,0.041666666666666664,0.037313415549723415,0.0,33,38,0.03598484848484849,True,0.0,33,4,0.07556096518348275,0.0,0
7,Chart,17,0.1,0.9988558352402747,0.5773502691896258,0.5,6.8123731565799375,1.0,1.0,1.0,1.0,0.0,0,2,0.0,0.01834862385321101,0.0,0.0,0.004611626107179349,0.0,110,157,0.013094245204336948,True,0.0,110,3,0.21184243427478325,0.0,0
8,Chart,18,0.1,1.0,1.0,inf,27.67350694679921,2.0,1.5,1.5,1.5,-0.5,1,1,0.038461538461538464,0.038461538461538464,0.0015384615384615385,0.038461538461538464,0.03168671344795748,0.0,27,34,0.04843304843304843,True,0.0,27,3,0.1403230639696259,0.0,0
9,Chart,19,0.1,1.0,0.7071067811865475,1.0,27.648184916421464,2.0,1.5,1.5,1.5,-0.5,0,1,0.0,0.0014388489208633094,0.0,0.0,0.0007562848855436402,0.0,696,1102,0.002278177458033573,False,0.016333938294010888,665,30,-0.20448661446823865,3.047126436781609,8
10,Chart,2,0.1,0.9864925709140027,0.17677669529663687,0.0625,3.9944726550466783,32.0,31.0,32.0,32.0,-1.0,2,17,0.006968641114982578,0.059233449477351915,0.004830535318340197,0.012775842044134726,0.004692103427899607,0.005847953216374269,288,407,0.004924022454510259,False,0.0,286,4,0.0036289933021091255,1.5,2
11,Chart,20,0.1,0.9457587997691863,0.10259783520851541,0.010638297872340425,2.8727646246889256,1.0,1.0,1.0,1.0,0.0,0,1,0.0,0.02127659574468085,0.0,0.0,0.010713171833968239,0.0,48,51,0.022606382978723406,True,0.0,48,9,-0.15624882489635245,0.0,0
12,Chart,21,0.1,0.9939209726443768,0.30151134457776363,0.1,5.686156270797478,3.0,5.0,5.0,5.0,2.0,0,8,0.0,0.13559322033898305,0.0,0.0,0.009428523370322581,0.0,60,62,0.01751412429378531,False,0.0,58,3,-0.16677442580793794,1.5,2
13,Chart,22,0.1,0.9945054945054945,0.3651483716701107,0.5714285714285714,5.244455019024111,7.0,7.0,12.0,10.0,0.0,0,1,0.0,0.03125,0.0,0.0,0.018186341876160382,0.0,33,34,0.032196969696969696,True,0.0,33,2,-0.019505494655714755,0.0,0
14,Chart,25,0.1,1.0,0.7071067811865475,2.0,27.904050892055782,1.0,1.0,13.0,21.0,0.0,1,15,0.0015822784810126582,0.02373417721518987,0.0002492945361658877,0.0027124773960217,0.0011545460807334085,0.0,633,1035,0.002587137800707901,False,0.001932367149758454,627,32,-0.19723092091719402,2.5,5
15,Chart,26,0.1,0.985387547649301,0.699205898780101,21.043478260869566,4.330879873230565,78.0,98.5,62.5,62.5,20.5,1,11,0.0018450184501845018,0.02029520295202952,0.0002557788978998847,0.00316288877174486,0.0012555422948929721,0.0,543,797,0.002708065754690696,False,0.002509410288582183,537,29,-0.20502294481541294,2.5,5
16,Chart,3,0.1,0.9990875912408759,0.5773502691896258,0.5,7.108239925098544,1.0,1.0,1.0,1.0,0.0,1,3,0.00819672131147541,0.02459016393442623,0.001354829968838911,0.00819672131147541,0.004679113783416935,0.08333333333333333,123,184,0.012261761961881914,False,0.010869565217391304,122,3,0.303524878271555,1.0,1
17,Chart,4,0.1,0.9699011680143756,0.49718307617612556,7.223880597014926,3.8965994634207277,6.0,14.0,10.0,10.0,8.0,2,11,0.0019588638589618022,0.010773751224289913,0.0021461081984213864,0.009287023782616338,0.0006537003846656506,0.0,1022,1704,0.0016330254479798977,False,0.018779342723004695,981,35,-0.17993706987212127,2.9045977011494255,7
18,Chart,5,0.1,0.9985294117647059,0.5,0.3333333333333333,6.698921075446573,2.0,2.0,2.0,2.0,0.0,1,6,0.018867924528301886,0.11320754716981132,0.00362844702467344,0.018867924528301886,0.01680768983833224,0.023809523809523808,54,64,0.02236198462613557,False,0.03125,53,6,0.36913931428069896,1.0,1
19,Chart,6,0.1,0.8949120304327152,0.09470274476207569,0.01809954751131222,2.1987337153449458,13.0,11.0,7.0,7.0,-2.0,0,1,0.0,0.045454545454545456,0.0,0.0,0.02707109018309184,0.0,23,21,0.041501976284584984,True,0.0,23,4,0.2640110131015253,0.0,0
20,Chart,7,0.1,0.9934282584884994,0.2773500981126146,0.08333333333333333,5.5946725008806695,1.0,4.5,4.5,4.5,3.5,1,6,0.013513513513513514,0.08108108108108109,0.008330248056275453,0.033783783783783786,0.012746261432060311,0.023809523809523808,75,81,0.014594594594594595,True,0.0,75,6,0.08161339353042726,0.0,0
21,Chart,8,0.1,0.0,0.0,0.0,-1000000000.0,10.0,10.0,10.0,10.0,0.0,0,1,0.0,0.05555555555555555,0.0,0.0,0.02723743776314095,0.0,19,14,0.04093567251461988,True,0.0,19,5,-0.4000000000000027,0.0,0
22,Chart,9,0.1,0.9994487320837927,0.7071067811865475,1.0,7.545707454097726,1.0,1.0,1.0,1.0,0.0,0,5,0.0,0.04504504504504504,0.0,0.0,0.004518560491457838,0.05,112,160,0.01287001287001287,True,0.0,112,3,0.22921297864960613,0.0,0
23,Cli,35,0.1,0.7718978102189781,0.0890870806374748,0.008,1.0783202645647894,17.0,17.0,17.0,17.0,0.0,4,1,0.03418803418803419,0.008547008547008548,0.00019648295510364474,0.042440318302387266,0.011445233971244003,0.15,118,174,0.012603215993046502,True,0.0,118,2,-0.014087057661770526,0.0,0
24,Cli,37,0.1,0.9516616314199395,0.24253562503633297,0.0625,3.0498394661317256,4.0,4.5,4.5,4.5,0.5,1,1,0.015873015873015872,0.015873015873015872,0.0006827103601297149,0.027210884353741492,0.016352744350322048,0.0,64,70,0.017361111111111112,True,0.0,64,4,-0.257462253049201,0.0,0
25,Cli,38,0.1,0.9489489489489489,0.23570226039551587,0.058823529411764705,3.0069220822061844,3.0,3.5,3.5,3.5,0.5,1,1,0.015151515151515152,0.015151515151515152,0.0006216006216006216,0.025974025974025972,0.014819251933435718,0.0,67,75,0.016960651289009497,True,0.0,67,4,-0.2564170777790451,0.0,0
26,Cli,39,0.1,0.9766081871345029,0.4472135954999579,0.5,3.66486709682189,9.0,6.5,6.5,6.5,-2.5,1,7,0.010309278350515464,0.07216494845360824,0.00429553264604811,0.017182130584192438,0.013752401955834978,0.0,98,117,0.012308015989901114,True,0.0,98,1,-0.2573316899709863,0.0,0
27,Cli,40,0.1,0.931578947368421,0.19245008972987526,0.038461538461538464,2.0234560000041175,1.0,1.0,1.0,1.0,0.0,0,8,0.0,0.8888888888888888,0.0,0.0,0.06378376696667781,0.0,10,13,0.14444444444444443,True,0.0,10,1,-0.9999999999999999,0.0,0
28,Closure,1,0.1,0.9885649660718774,0.2842676218074806,0.7032967032967034,4.866992622692294,14.0,17.5,17.5,17.5,3.5,1,13,0.000663129973474801,0.008620689655172414,7.340696051997334e-05,0.0009946949602122016,0.00038696713853900654,0.01098901098901099,1509,3138,0.0013789939408640993,False,0.012109623964308477,1400,48,-0.08409296503288372,10.54006968641115,22
29,Closure,2,0.1,0.9979599642993753,0.24253562503633297,0.0625,6.175898226315894,1.0,1.0,1.0,1.0,0.0,2,10,0.0007958615200955034,0.003979307600477517,2.6910029561845168e-05,0.0026270271379656733,0.0001907983812304498,0.03333333333333333,2514,6932,0.0010972378793361237,False,0.018753606462781305,2273,52,-0.009046684647502332,10.724738675958188,22
30,Codec,1,0.1,0.7457627118644068,0.16609095970747995,0.13333333333333333,1.1447171994064131,1.0,1.0,1.0,1.0,0.0,1,0,0.07692307692307693,0.0,0.0,0.16025641025641027,0.04752225844506255,0.0,14,12,0.06593406593406594,True,0.0,14,2,0.0,0.0,0
31,Codec,10,0.1,0.9692737430167598,0.2886751345948129,0.09090909090909091,3.497518674560344,2.0,2.0,2.0,2.0,0.0,3,0,0.75,0.0,0.0,0.75,0.44205365271218855,0.0,5,4,0.2,True,0.0,5,1,-0.5773502691896258,0.0,0
32,Codec,11,0.1,0.9162011173184358,0.21693045781865616,0.2222222222222222,2.520566964960766,12.0,12.0,13.0,13.0,0.0,1,2,0.045454545454545456,0.09090909090909091,0.01948051948051948,0.09090909090909091,0.06056273910081951,0.0,23,25,0.04940711462450593,True,0.0,23,2,0.2886751345948129,0.0,0
33,Codec,14,0.1,0.9676375404530745,0.4082482904638631,0.8,4.058461469989384,1.0,28.5,28.5,28.5,27.5,1,12,0.011627906976744186,0.13953488372093023,0.0028727770177838577,0.015503875968992248,0.007750024347162513,0.03205128205128205,87,94,0.01256348569901096,False,0.02127659574468085,86,10,-0.11412311146191838,1.0,1
34,Codec,15,0.1,0.9652173913043478,0.2,0.041666666666666664,3.5049331544197275,3.0,3.0,3.0,3.0,0.0,1,1,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.1893939393939394,0.13110384549786272,0.0,12,10,0.07575757575757576,True,0.0,12,2,-0.10206207261596609,0.0,0
35,Codec,18,0.1,0.9892984542211652,0.42640143271122083,0.4444444444444444,4.626607863484986,2.0,2.0,2.0,2.0,0.0,0,1,0.0,0.05555555555555555,0.0,0.0,0.03149586302721926,0.0,19,15,0.043859649122807015,True,0.0,19,4,-inf,0.0,0
36,Codec,2,0.1,0.8975409836065574,0.2721655269759087,0.16,2.2104639154040973,6.0,6.0,6.0,6.0,0.0,2,1,0.11764705882352941,0.058823529411764705,0.009191176470588236,0.16339869281045752,0.03822928830620312,0.0,18,23,0.07516339869281045,False,0.17391304347826086,16,2,0.21177936240075546,1.3333333333333333,2
37,Codec,3,0.1,0.985185185185185,0.4472135954999579,0.25,4.564544116762292,2.0,2.5,2.5,2.5,0.5,1,10,0.020833333333333332,0.20833333333333331,0.0019602048857368004,0.020833333333333332,0.010943273196519662,0.08181818181818182,49,156,0.0663265306122449,True,0.0,49,1,-0.4585772787164218,0.0,0
38,Codec,4,0.1,0.889240506329114,0.23249527748763857,0.11428571428571428,2.0833114653934794,6.0,6.0,6.0,6.0,0.0,1,1,0.043478260869565216,0.043478260869565216,0.007905138339920948,0.043478260869565216,0.02553669015508138,0.0,24,29,0.05253623188405797,True,0.0,24,1,0.12601440246904158,0.0,0
39,Codec,5,0.1,0.8712574850299402,0.21081851067789195,0.09302325581395349,2.1577780651077303,7.0,7.0,7.0,7.0,0.0,2,1,0.07142857142857142,0.03571428571428571,0.0033068783068783067,0.09920634920634921,0.025534889567629667,0.0,29,36,0.04433497536945813,False,0.1111111111111111,27,2,0.1396860591539149,1.3333333333333333,2
40,Codec,6,0.1,0.9740259740259741,0.3333333333333333,0.125,3.808405768447587,4.0,4.0,4.0,4.0,0.0,2,6,0.07142857142857142,0.21428571428571427,0.009259259259259259,0.03571428571428571,0.0347227254448215,0.0,29,31,0.038177339901477834,False,0.0,29,3,0.15927947873194978,0.0,0
41,Codec,7,0.1,0.9933774834437087,0.7071067811865475,2.0,5.058691453998675,2.0,2.0,1.5,1.0,0.0,0,2,0.0,0.045454545454545456,0.0,0.0,0.009770813039514494,0.0,45,54,0.02727272727272727,False,0.0,45,2,-0.11599898479113825,0.0,0
42,Codec,8,0.1,0.9837133550488599,0.4082482904638631,0.2,4.1810419266191925,2.0,2.0,2.0,2.0,0.0,1,0,0.03571428571428571,0.0,0.0,0.047619047619047616,0.016666915311640506,0.0,29,29,0.03571428571428571,False,0.0,29,3,-0.001430839207799294,0.0,0
43,Codec,9,0.1,0.906515580736544,0.17149858514250882,0.030303030303030304,2.5040977752127165,2.0,5.0,5.0,5.0,3.0,1,4,0.022727272727272728,0.09090909090909091,0.052854122621564484,0.07655502392344497,0.051223527710490144,0.05,45,54,0.02727272727272727,False,0.0,45,2,-0.06113543594544164,0.0,0
44,Collections,1,0.1,0.7406035347688508,0.01991751312709261,0.0011904761904761906,1.0060642816464362,2.0,1.5,2.0,5.5,-0.5,0,4,0.0,0.025157232704402517,0.0,0.0,0.0032343960680100365,0.0,160,236,0.009276729559748427,True,0.0,160,7,0.07954209303850648,0.0,0
45,Collections,12,0.1,1.0,0.017226024063738864,0.00029682398337785694,27.603628190580682,1.0,1.0,1.0,1.0,0.0,0,1,0.0,0.02857142857142857,0.0,0.0,0.014763058901171156,0.0,36,37,0.029365079365079365,False,0.0,36,4,-0.12941176470588284,0.0,0
46,Collections,13,0.1,0.5880699181029213,0.012180638428352398,0.0002967359050445104,0.2942608010583203,1.0,1.0,1.0,1.0,0.0,0,2,0.0,0.05714285714285714,0.0,0.0,0.014779275061352272,0.0,36,39,0.030952380952380953,False,0.0,36,4,-0.05850002206328755,0.0,0
47,Collections,14,0.1,0.04030420798713482,0.0029117295059049426,0.0002938583602703497,-3.510626698339689,3.0,2.0,2.0,2.0,-1.0,5,0,0.049019607843137254,0.0,0.0,0.07870370370370369,0.01606014553949567,0.0,103,144,0.013706453455168474,True,0.0,103,10,0.10066594512048349,0.0,0
48,Collections,15,0.1,0.13695472782630963,0.005447347107028433,0.0002960331557134399,-1.931335969968068,9.0,8.5,8.5,8.5,-0.5,0,3,0.0,0.057692307692307696,0.0,0.0,0.00979983505722502,0.0,53,49,0.017779390420899856,True,0.0,53,11,-0.2585275322000667,0.0,0
49,Collections,16,0.1,1.0,0.017226024063738864,0.00029682398337785694,27.631043237892342,2.0,1.5,7.5,7.5,-0.5,0,2,0.0,0.037037037037037035,0.0,0.0,0.009252156056476332,0.0,55,52,0.017508417508417508,True,0.0,55,11,-0.29868226322848057,0.0,0
50,Collections,17,0.1,0.11194692576921068,0.005113099925649137,0.0002349072116513977,-2.271006627564776,4.0,2.5,2.5,2.5,-1.5,1,1,0.2,0.2,0.05,0.2,0.1599102742634799,0.0,6,4,0.13333333333333333,True,0.0,6,2,,0.0,0
51,Collections,19,0.1,0.0940677424168141,0.004624972900628803,0.00023479690068091102,-2.3564101402610875,10.0,9.5,9.5,9.5,-0.5,0,3,0.0,0.04918032786885246,0.0,0.0,0.006596586803725216,0.0,62,70,0.01850872554204125,False,0.0,62,5,-0.34120147773583764,0.0,0
52,Collections,2,0.1,0.2223971841422749,0.007045049175671631,0.000297441998810232,-1.3485825171264545,1.0,1.0,1.0,1.0,0.0,1,0,0.03225806451612903,0.0,0.0,0.04301075268817204,0.02840856207367812,0.0,32,30,0.03024193548387097,False,0.0,32,5,-0.06382256462726027,0.0,0
53,Collections,20,0.1,0.10513756316676025,0.004850712500726659,0.00023485204321277596,-2.2493301384461932,5.0,5.0,5.0,5.0,0.0,0,3,0.0,0.05263157894736842,0.0,0.0,0.00832060021461695,0.0,58,135,0.04083484573502722,False,0.05925925925925926,54,2,0.10417341201165026,1.3333333333333333,2
54,Collections,3,0.1,1.0,0.017256775693210744,0.0002978850163836759,27.61907170164511,1.0,1.0,3.0,3.0,0.0,0,1,0.0,0.009174311926605505,0.0,0.0,0.004694319576344634,0.0,110,104,0.008673894912427023,False,0.0,110,21,0.0031160991168858896,0.0,0
55,Collections,4,0.1,0.12452122254357852,0.0073561235792062455,0.0011841326228537595,-2.0634225224725773,13.0,12.5,12.0,11.0,-0.5,1,3,0.022727272727272728,0.06818181818181818,0.0010570824524312897,0.022727272727272728,0.017936702933300505,0.08333333333333333,45,48,0.024242424242424242,True,0.0,45,5,-0.1017599262472494,0.0,0
56,Collections,5,0.1,0.035228076379066484,0.002728535813058852,0.0002944640753828033,-3.5005401254784734,7.0,7.0,7.0,7.0,0.0,1,2,0.019230769230769232,0.038461538461538464,0.003770739064856712,0.02564102564102564,0.014765337655157015,0.3333333333333333,53,49,0.017779390420899856,True,0.0,53,11,-0.264188235626489,0.0,0
57,Collections,6,0.1,0.2625857809497667,0.0077174647044970564,0.0002975304968759298,-1.1224100831157509,1.0,1.0,1.0,1.0,0.0,2,1,0.012578616352201259,0.006289308176100629,0.0005572804713000557,0.012578616352201259,0.0059790879226439084,0.0,160,236,0.009276729559748427,True,0.0,160,7,0.07954209303850648,0.0,0
58,Collections,7,0.1,0.0,0.0,0.0,-1000000000.0,8.5,20.0,20.0,20.0,11.5,1,0,0.03125,0.0,0.0,0.03125,0.02336061969613795,0.0,33,31,0.029356060606060608,False,0.0,33,5,-0.08093026382225278,0.0,0
59,Collections,8,0.1,0.151457721343062,0.005752258564403582,0.00029717682020802375,-1.8311184830645177,1.0,1.0,1.0,1.0,0.0,0,4,0.0,0.26666666666666666,0.0,0.0,0.037827708338152355,0.08333333333333333,16,18,0.075,True,0.0,16,2,-0.1340219266868101,0.0,0
60,Collections,9,0.1,1.0,0.017256775693210744,0.0002978850163836759,27.59595822517597,1.0,1.0,1.0,1.0,0.0,0,2,0.0,0.05714285714285714,0.0,0.0,0.014644139277923376,0.0,36,38,0.03015873015873016,False,0.0,36,4,-0.11452393385485223,0.0,0
61,Compress,10,0.1,0.9235474006116208,0.19611613513818404,0.04,2.617018018509661,28.0,29.0,29.0,29.0,1.0,1,9,0.004273504273504274,0.038461538461538464,0.000999596493158725,0.004273504273504274,0.003181497676757989,0.022222222222222223,235,383,0.0069649027095835606,True,0.0,235,11,-0.03195053886841704,0.0,0
62,Compress,11,0.1,0.9046242774566474,0.17149858514250882,0.030303030303030304,2.5358610457643813,27.0,31.5,31.5,31.5,4.5,0,8,0.0,0.2222222222222222,0.0,0.0,0.017552467520108785,0.017857142857142856,37,36,0.02702702702702703,True,0.0,37,3,-0.04581556479781309,0.0,0
63,Compress,12,0.1,0.9431137724550898,0.22360679774997896,0.05263157894736842,2.7142187498068995,16.0,6.5,6.5,6.5,-9.5,1,7,0.015151515151515152,0.10606060606060606,0.005594405594405594,0.015151515151515152,0.01449907644396019,0.0,67,72,0.016282225237449117,True,0.0,67,3,-0.22484642679043135,0.0,0
64,Compress,13,0.1,0.7155756207674944,0.125,0.031746031746031744,1.0801848914901164,70.0,81.5,78.5,78.5,11.5,3,0,0.018404907975460124,0.0,0.0,0.02556237218813906,0.010269279975039172,0.0,164,249,0.009314679036360915,True,0.0,164,9,-0.04591786462588158,0.0,0
65,Compress,14,0.1,0.9300291545189505,0.2,0.041666666666666664,2.7958081350316153,17.0,22.0,22.0,22.0,5.0,2,1,0.08,0.04,0.006666666666666667,0.09142857142857143,0.06121324833038453,0.16666666666666666,26,24,0.036923076923076927,True,0.0,26,3,-0.04797390928809182,0.0,0
66,Compress,15,0.1,0.9912790697674418,0.5,0.3333333333333333,4.772741019590596,1.0,1.0,1.0,1.0,0.0,0,1,0.0,0.01282051282051282,0.0,0.0,0.007594669314195548,0.0,79,95,0.015417072379097696,True,0.0,79,11,-0.0642309231592729,0.0,0
67,Compress,16,0.1,0.9098143236074271,0.1690308509457033,0.029411764705882353,2.6613699225497784,13.0,35.0,35.0,35.0,22.0,0,9,0.0,0.18367346938775508,0.0,0.0,0.011952923943662753,0.013888888888888888,50,48,0.019591836734693877,True,0.0,50,5,-0.10152415064552864,0.0,0
68,Compress,17,0.1,0.9124668435013263,0.17149858514250882,0.030303030303030304,2.481511248071473,15.0,17.5,17.5,17.5,2.5,2,1,0.04,0.02,0.002857142857142857,0.04454545454545455,0.027608596883806746,0.16666666666666666,51,50,0.0196078431372549,False,0.0,49,6,-0.023440361546925154,1.5,2
69,Compress,18,0.1,0.9749303621169916,0.31622776601683794,0.1111111111111111,3.846301004351588,4.0,4.5,4.5,4.5,0.5,1,6,0.009174311926605505,0.05504587155963303,8.494733265375468e-05,0.009174311926605505,0.004961976447677929,0.2,110,144,0.01201000834028357,False,0.027777777777777776,107,5,0.07231518721805505,1.3333333333333333,2
70,Compress,19,0.1,0.9896640826873384,0.4082482904638631,0.3333333333333333,4.572088783359405,2.0,1.5,1.5,1.5,-0.5,1,0,0.004784688995215311,0.0,0.0,0.008202323991797676,0.002853323870413249,0.0,210,336,0.007655502392344498,True,0.0,210,9,-0.06380835308768565,0.0,0
71,Compress,20,0.1,0.8840909090909091,0.13608276348795434,0.05263157894736842,2.714158257095119,1.0,7.0,7.0,7.0,6.0,1,18,0.024390243902439025,0.43902439024390244,0.023170731707317073,0.03252032520325203,0.016885462677034002,0.0,42,55,0.03193960511033682,True,0.0,42,2,-0.5595377322551736,0.0,0
72,Compress,21,0.1,0.994400895856663,0.8,16.0,5.3606260784497115,2.0,3.0,3.0,3.0,1.0,7,0,0.056,0.0,0.0,0.04609523809523809,0.005896515541347583,0.0,126,170,0.010793650793650795,True,0.0,126,5,-0.09343827344768182,0.0,0
73,Compress,22,0.1,0.9807692307692308,0.31622776601683794,0.1111111111111111,4.006661077197053,53.0,56.5,56.5,56.5,3.5,0,5,0.0,0.07142857142857142,0.0,0.0,0.007837597733438234,0.0,71,87,0.01750503018108652,True,0.0,71,1,-0.2315645783163766,0.0,0
74,Compress,23,0.1,0.9913793103448276,0.4472135954999579,0.25,4.77643390363573,2.0,1.5,1.5,1.5,-0.5,1,2,0.014285714285714285,0.02857142857142857,0.0033126293995859213,0.03809523809523809,0.009923386023143401,0.0,71,94,0.018913480885311872,True,0.0,71,3,-0.2508160766137372,0.0,0
75,Compress,24,0.1,0.9092702169625246,0.14586499149789456,0.021739130434782608,2.3047566465075526,2.0,2.0,2.0,2.0,0.0,1,1,0.041666666666666664,0.041666666666666664,0.0018115942028985507,0.041666666666666664,0.035376341499786995,0.0,25,18,0.03,True,0.0,25,7,-0.5477225575051662,0.0,0
76,Compress,25,0.1,0.9114173228346456,0.14744195615489714,0.022222222222222223,2.4247610839230447,26.0,27.5,27.5,27.5,1.5,1,2,0.004878048780487805,0.00975609756097561,0.0002152080344332855,0.007317073170731708,0.008887312351382843,0.0,206,301,0.007127634383139948,True,0.0,206,7,-0.0157252583684266,0.0,0
77,Compress,27,0.1,0.9139194139194139,0.14433756729740646,0.02127659574468085,2.355350300803119,2.0,2.0,2.0,2.0,0.0,1,1,0.041666666666666664,0.041666666666666664,0.0018115942028985507,0.041666666666666664,0.035376341499786995,0.0,25,18,0.03,True,0.0,25,7,-0.5477225575051662,0.0,0
78,Compress,28,0.1,0.9596928982725528,0.21320071635561041,0.047619047619047616,3.249357130414819,2.0,2.5,2.5,2.5,0.5,4,2,0.038461538461538464,0.019230769230769232,0.003547423450336072,0.06947115384615385,0.04096422715960667,0.0,105,131,0.011996336996336997,False,0.015267175572519083,101,4,-0.2497987549070867,1.75,3
79,Compress,29,0.1,0.3610747051114024,0.03162277660168379,0.015873015873015872,-0.4968627873628719,87.0,88.0,101.0,101.0,1.0,0,22,0.0,0.14102564102564102,0.0,0.0,0.003478684514566232,0.006493506493506494,157,206,0.008410909684795034,True,0.0,157,10,-0.2082697214416584,0.0,0
80,Compress,30,0.1,0.990066225165563,0.3779644730092272,0.16666666666666666,4.701845359786239,7.0,7.0,7.0,7.0,0.0,0,2,0.0,0.03076923076923077,0.0,0.0,0.008391129008488336,0.0,66,82,0.019114219114219115,False,0.0,66,2,-0.21511563641697604,0.0,0
81,Compress,31,0.1,0.9156441717791411,0.1873171623163388,0.07272727272727272,2.497271211809143,2.0,2.0,2.0,2.0,0.0,1,1,0.041666666666666664,0.041666666666666664,0.0018115942028985507,0.041666666666666664,0.035376341499786995,0.0,25,18,0.03,True,0.0,25,7,-0.5477225575051662,0.0,0
82,Compress,32,0.1,0.9758842443729904,0.25,0.06666666666666667,3.7071525325777355,7.0,6.5,6.5,6.5,-0.5,1,1,0.008695652173913044,0.008695652173913044,0.00030511060259344014,0.01391304347826087,0.005528960588494644,0.0,116,160,0.01199400299850075,False,0.025,111,4,-0.06870775973224033,1.75,3
